date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-01-09 20:24:30,lasisielenu,masta_drizzz,34,50,632,"Good evening sir. Can you please explain to your fans how you know I got it sir https://twitter.com/masta_drizzz/status/1215184474599755776 …",,,,1215368774087577601,https://twitter.com/lasisielenu/status/1215368774087577601
2020-01-09 20:23:37,lasisielenu,itzpre_,18,13,274,"I miss Nikkilo https://twitter.com/itzpre_/status/1215197560924667909 …",,,,1215368549222559744,https://twitter.com/lasisielenu/status/1215368549222559744
2020-01-09 20:23:12,lasisielenu,Melvindinho,17,23,309,"Not only me bruv. Even you guys saying spot on. You will tell them how you know it's on spot https://twitter.com/Melvindinho/status/1215160433268621312 …",,,,1215368444331339777,https://twitter.com/lasisielenu/status/1215368444331339777
2020-01-09 20:21:58,lasisielenu,pablobignose,14,11,284,"Cos for a sec I started to think everyone Issa doing yahoo too https://twitter.com/pablobignose/status/1215189287312023552 …",,,,1215368133499916294,https://twitter.com/lasisielenu/status/1215368133499916294
2020-01-09 11:10:08,lasisielenu,Blackdotmandy,169,753,3404,"Nigerians don’t appreciate professionalismhttps://twitter.com/Blackdotmandy/status/1214807621003358209 …",,,,1215229261260476417,https://twitter.com/lasisielenu/status/1215229261260476417
2020-01-09 06:26:43,lasisielenu,,1899,7463,23618,"Life of a G boy pic.twitter.com/Kwk5oS2pT7",,,,1215157938865758208,https://twitter.com/lasisielenu/status/1215157938865758208
2020-01-08 05:58:33,lasisielenu,,199,769,3852,"Date Night. Part one. To be continued. pic.twitter.com/QUuKNmQ8qO",,,,1214788462555074560,https://twitter.com/lasisielenu/status/1214788462555074560
2020-01-07 16:27:23,lasisielenu,,116,169,2145,"7am tomorrow morning guys.pic.twitter.com/5FCX6QDK25",,,,1214584322835046406,https://twitter.com/lasisielenu/status/1214584322835046406
2020-01-05 19:11:41,lasisielenu,,118,235,2057,"OMG Hit the link to watch full video now. https://youtu.be/QdaHavUK-rk pic.twitter.com/qI5zb4uAVW",,,,1213900895886479360,https://twitter.com/lasisielenu/status/1213900895886479360
2020-01-04 05:56:23,lasisielenu,,389,1154,6251,"Childhood memories. Tag 5 friends if you went through this.pic.twitter.com/nRVFUt4Hfg",,,,1213338365933817856,https://twitter.com/lasisielenu/status/1213338365933817856
2020-01-03 11:01:48,lasisielenu,,302,729,4011,"A prayer or two please pic.twitter.com/pZlmJqREfP",,,,1213052835446824961,https://twitter.com/lasisielenu/status/1213052835446824961
2020-01-02 06:59:13,lasisielenu,,991,2740,10146,"Africa is Great.... pic.twitter.com/CaKpPXvNLX",,,,1212629400031768576,https://twitter.com/lasisielenu/status/1212629400031768576
2020-01-01 11:49:39,lasisielenu,,362,1462,5886,"Happy New Year Guys!!pic.twitter.com/hp6wqhpHOo",,,,1212340101856088065,https://twitter.com/lasisielenu/status/1212340101856088065
